LISTA;empresa;caregoria;codigo;titulo; P.V.P  ACT. ; NUEVO P.V.P ; INCREMENTO ; % INCREMENTO ;; CONSE ; PRECIO NUEVO ;
LISTA;4;IGI;70133;DEJA QUE LOS PERROS LADREN / EL SENADOR NO ES HONORABLE; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 767,00 ; 36.900 ;
LISTA;4;IGI;70134;SIDDHARTHA ALMA DE NIÑO ; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 768,00 ; 35.900 ;
LISTA;4;IGI;70135;PUNTA DE RIELES; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 769,00 ; 36.900 ;
LISTA;4;IGI;70136;VUELTA AL MUNDO EN OCHENTA DIAS, LA ZIG-ZAG; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 770,00 ; 35.900 ;
LISTA;4;IGI;70137;FEDERICO: SI O SI POETA; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 771,00 ; 35.900 ;
LISTA;4;IGI;70138;ORO DE LA CORONA, EL; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 772,00 ; 35.900 ;
LISTA;4;IGI;70139;NUEVO CIRCO DE DIAMANTE, EL; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 773,00 ; 35.900 ;
LISTA;4;IGI;70140;REBELION EN LA GRANJA; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 774,00 ; 35.900 ;
LISTA;4;IGI;70141;1984: GEORGE ORWELL; 33.500,00 ; 36.900,00 ; 3.400,00 ; 0,10 ;#�REF!; 775,00 ; 38.900 ;
LISTA;4;IGI;70142;COLMILLO BLANCO ZIG-ZAG; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 776,00 ; 35.900 ;
LISTA;4;IGI;70143;DESAFIO DE DON PANTALEON, EL; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 777,00 ; 35.900 ;
LISTA;4;IGI;70144;FEDERICO: NO MAS SILENCIO; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 778,00 ; 35.900 ;
LISTA;4;IGI;70145;LUGAR SECRETO, EL; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 779,00 ; 35.900 ;
LISTA;4;IGI;70146;CUENTOS DE LOS REINOS INQUIETOS; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 780,00 ; 35.900 ;
LISTA;4;IGI;70147;SUEÑO DE UNA NOCHE DE VERANO. EL MERCADER DE VENECIA ; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 781,00 ; 35.900 ;
LISTA;4;IGI;70148;HOMBRES DEL SUR; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 782,00 ; 35.900 ;
LISTA;4;IGI;70149;HOMBRE DE LA ROSA Y OTROS CUENTOS, EL; 33.500,00 ; 36.900,00 ; 3.400,00 ; 0,10 ;#�REF!; 783,00 ; 38.900 ;
LISTA;4;IGI;70150;SIN AZUCAR; 37.000,00 ; 40.700,00 ; 3.700,00 ; 0,10 ;#�REF!; 784,00 ; 42.900 ;
LISTA;4;IGI;70151;EPOCA DE LAS SEMILLAS, LA; 33.500,00 ; 36.900,00 ; 3.400,00 ; 0,10 ;#�REF!; 785,00 ; 38.900 ;
LISTA;4;IGI;70152;LANCHAS EN LA BAHIA; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 786,00 ; 35.900 ;
LISTA;4;IGI;70153;PALOMITA BLANCA; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 787,00 ; 35.900 ;
LISTA;4;IGI;70154;VIOLINISTA DE LOS BRAZOS LARGOS, EL; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 788,00 ; 35.900 ;
LISTA;4;IGI;70155;RUISE?OR Y LA ROSA Y OTROS CUENTOS, EL; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 789,00 ; 35.900 ;
LISTA;4;IGI;70156;CONTAR CON LOS DEDOS; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 790,00 ; 35.900 ;
LISTA;4;IGI;70157;ESTER Y MANDRAGORA; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 791,00 ; 35.900 ;
LISTA;4;IGI;70158;PRINCIPITO, EL (ZIG ZAG); 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 792,00 ; 35.900 ;
LISTA;4;IGI;70159;CUENTOS PARA TIRITAR DE MIEDO; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 793,00 ; 35.900 ;
LISTA;4;IGI;70160;CUENTOS DE LOS DERECHOS DEL NI?O; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 794,00 ; 35.900 ;
LISTA;4;IGI;70161;CORAZON (ZIG ZAG); 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 795,00 ; 35.900 ;
LISTA;4;IGI;70162;ABUELA VIRTUAL Y OTROS CUENTOS, LA; 41.933,00 ; 46.100,00 ; 4.167,00 ; 0,10 ;#�REF!; 796,00 ; 48.900 ;
LISTA;4;IGI;70163;ESQUELETO EN VACACIONES, UN; 33.500,00 ; 36.900,00 ; 3.400,00 ; 0,10 ;#�REF!; 797,00 ; 38.900 ;
LISTA;4;IGI;70164;AMADO; 33.500,00 ; 36.900,00 ; 3.400,00 ; 0,10 ;#�REF!; 798,00 ; 38.900 ;
LISTA;4;IGI;70165;CUENTOS DE MI ESCRITORIO; 33.500,00 ; 36.900,00 ; 3.400,00 ; 0,10 ;#�REF!; 799,00 ; 38.900 ;
LISTA;4;IGI;70166;CUENTOS DE PERRAULT; 33.500,00 ; 36.900,00 ; 3.400,00 ; 0,10 ;#�REF!; 800,00 ; 38.900 ;
LISTA;4;IGI;70167;ESCAPADA DE EMA, LA; 33.500,00 ; 36.900,00 ; 3.400,00 ; 0,10 ;#�REF!; 801,00 ; 38.900 ;
LISTA;4;IGI;70168;MAGO DE OZ, EL (ZIG ZAG); 33.500,00 ; 36.900,00 ; 3.400,00 ; 0,10 ;#�REF!; 802,00 ; 38.900 ;
LISTA;4;IGI;70169;CUENTOS PARA NI?OS; 33.500,00 ; 36.900,00 ; 3.400,00 ; 0,10 ;#�REF!; 803,00 ; 38.900 ;
LISTA;4;IGI;70170;POROTA, LA; 33.500,00 ; 36.900,00 ; 3.400,00 ; 0,10 ;#�REF!; 804,00 ; 38.900 ;
LISTA;4;IGI;70171;QUIEN SALPICO A LA CHINITA?; 29.400,00 ; 32.300,00 ; 2.900,00 ; 0,10 ;#�REF!; 805,00 ; 33.900 ;
LISTA;4;IGI;70172;CUANDO GRANDE QUIERO SER; 39.000,00 ; 42.900,00 ; 3.900,00 ; 0,10 ;#�REF!; 806,00 ; 44.900 ;
LISTA;4;IGI;70173;CABEZA DE TV; 29.400,00 ; 32.300,00 ; 2.900,00 ; 0,10 ;#�REF!; 807,00 ; 33.900 ;
LISTA;4;IGI;70174;RIMAS CANTARINAS; 29.400,00 ; 32.300,00 ; 2.900,00 ; 0,10 ;#�REF!; 808,00 ; 33.900 ;
